&;dan
fake;falsu
fakta2;fakta-fakta
faktakta;fakta
fakultass;fakultas
fans2;fan-fan
fans;fan
fans;penggemar
faq;pertanyaan umum
fatanik;fanatik
fav;favorit
favoriteeee;favorit
fax;facsimile
fb;facebook
fffihak;pihak
fham;paham
fhm;paham
fhoto;foto
fhotonya;fotonya
fi;di
fifo;first in first out
fikiran;pikiran
fillm;film
filmny;filmnya
finek;finansial ekonomi
fitnag;fitnah
fix;pasti
flim.a;filmnya
flm;film
folbek;follow back
fotbar;foto bareng
foto";foto-foto
foto2;foto-foto
foto2nya;foto-fotonya
fotoin;memfoto
fotony;fotonya
frestasiii;prestasi
ft;foto
fto2;foto-foto
fto;foto
fwd;diterukan
fyi;asal tahu saja
fyi;sebagai informasi
g;enggak
g;tidak
ga;enggak
ga;tidak
gaa;enggak
gaada;enggak ada
gaada;tidak ada
gaada;tidak ada uang
gabakal;enggak bakal
gabisa;enggak bisa
gabisa;tidak bisa
gabut;gaji buta
gada;enggak ada
gada;tidak ada
gadiss;gadis
gag;enggak
gag;tidak
gagahx;gagahnya
gahar;sangar
gaharus;enggak harus
gaje;enggak jelas
gaje;tidak jelas
gajebo;tidak jelas
gajelas;enggak jelas
gak papa;tidak apa-apa
gak;enggak
gak;tidak
gakk;enggak
gakkk;enggak
gakpapa;enggak apa-apa
gakuat;enggak kuat
gakusah;enggak usah
gakwad;enggak kuat
galau;bimbang
gamau;enggak mau
gamau;tidak mau
gambarin;gambarkan
gan;juragan
gangguin;mengganggu
gans;ganteng
ganteeeeng;ganteng
ganteng2;ganteng-ganteng
gantengbs;ganteng
gantengg;ganteng
gantenggg;ganteng
gantengkuuuuuu;gantengku
gantengnyaaaa;gantengnya
gantengsaya;ganteng
ganteung;ganteng
gantheng;ganteng
ganti'kn;menggantikan
gantiin;menggantikan
gantng;ganteng
gantweng;ganteng
gapake;enggak pakai
gapap;enggak apa-apa
gapapa;tidak apa-apa
gapernah;enggak pernah
gaprgi;enggak pergi
gaptek;gagap teknologi
gapunya;enggak punya
gara";gara-gara
gara'';gara-gara
gara2;gara-gara
garemin;garami
garing;hambar
garuk2;garuk-garuk
gasalah;enggak salah
gasih;enggak sih
gatau;enggak tau
gatau;tidak tahu
gataunya;enggak taunya
gatek;gagap teknologi
gatot;gagal total
gausa;enggak usah
gausah;enggak usah
gawe;kerja
gawl;gaul
gawul;gaul
gax;tidak
gayannxa;gayanya
gayany;gayanya
gayax;gayanya
gbs;enggak bisa
gbs;tidak bisa
gda;enggak ada
gda;tidak ada uang
gde;gede
gebetan;orang yang disuka
gebleg;geblek
gedeg;gedek
geeelaakk;gila
geer;gede rasa
geetoo;begitu
gegra;gegara
geh;gih
gehh;gih
geje;tidak jelas
gelo;gila
gemay;gemas
gemeeezzzz;gemas
gemeessss;gemas
gemes;gemas
gemesiin;menggemaskan
gemesin;menggemaskan
gemesinnnnn;menggemaskan
gemesnya;gemasnya
gemess;gemas
gemesshh;gemas
gemesshzzzzhzzhzhzhsjssjs;gemas
gemesss;gemas
gemesyak;gemas ya
gemez;gemas
gemezz;gemas
gemezzzz;gemas
gemmeeezzz;gemas
genduut;gendut
geneeee;begini
gengges;ganggu
genggg;geng
genittt;genit
gepeng;gelandangan dan pengemis
geuliiiiiiis;geulis
gewlaaaaa;gila
gf;pacar
gg;enggak
gga;enggak
ggl;gagal
ghiey;lagi
ghiy;lagi
gi;lagi
giitu;begitu
gilaa;gila
gilaaa;gila
gilaaaa;gila
gilaaaaaa;gila
gilak;gila
gilakkk;gila
gilakkkkk;gila
gilakkkkkk;gila
gile;gila
gils;gila
gilsss;gila
gilzz;gila
giman;gigi mancung
gimana;bagaimana
gimanaa;bagaimana
gimanaaaa;bagaimana
gimn;bagaimana
gimna;bagaimana
gingsungny;gingsulnya
gini;begini
ginian;beginian
ginii;begini
giniii;begini
giniin;beginikan
gino;gigi nongol
ginting;ganteng
gitchu;gitu
githu;gitu
giti;begitu
gitu2;begitu-gitu
gitu;begitu
gituan;begituan
gituh;begitu
gituin;begitukan
gitulah;begitulah
gituu;begitu
gituuu;begitu
gituuuuu;begitu
gj;tidak jelas
gk;enggak
gk;tidak
gkhianati;mengkhianati
gkk;enggak
gkkan;enggak akan
gksalah;enggak salah
gksi;enggak sih
glembeeeer;gelambir
gmana;bagaimana
gmanapun;bagaimanapun
gmau;enggak mau
gmn;bagaimana
gmna;bagaimana
gmpg;gampang
gmpng;gampang
gn;begini
gndakan;gandakan
gni;begini
gnii;begini
gnti;ganti
gnyngka;enggak menyangka
goblog;goblok
goblok;bodoh
goblokkk;goblok
gogon;go internasional
gokiiill;gila
gokil;gila
gokill;gila
gokilll;gila
gokillllll;gila
gokilnya;gilanya
golput;golongan putih
gombal;suka merayu
goncengin;boncengkan
good;bagus
gosipin;menggosipkan
gossip2.an;gosip-gosipan
governor;gubernur
gowes;mengayuh sepeda
gpl;tidak pakai lama
gpny;tidak punya
gpp;enggak apa-apa
gpp;tidak apa-apa
gr2;gara-gara
gr;gede rasa
gra2;gara-gara
graaatiiiis;gratis
grammar;tata bahasa
gratiss;gratis
gratisss;gratis
greged;greget
gretong;gratis
gretongan;gratisan
grgr;gara-gara
grunya;gurunya
gt;begitu
gt;gitu
gtau;enggak tau
gtau;tidak tahu
gthu;begitu
gtu";begitu-gitu
gtu"an;begitu-gituan
gtu2;begitu-gitu
gtu;begitu
gtuh;begitu
gtuu;begitu
gtw;enggak tau
gtw;tidak tahu
gua;saya
guaa;gua
guaaaaaaa;gua
guanteng;ganteng
gub;gubernur
gue;aku
gue;saya
guee;gue
gueee;gue
gueeeee;gue
gunaa;guna
guoblok;goblok
guw;gue
guys;teman-teman
gw;aku
gw;gue
gw;saya
gws;cepat sembuh
gx;enggak
gya;gaya
ha;tertawa
hacep;pesta pora
hadapin;menghadapi
haddeh;aduh
hadeeehhh;aduh
hadeehh;aduh
hadeeuh;aduh
hadeuh;aduh
hadeuuh;aduh
hadeuuhhhh;aduh
hadirr;hadir
hadirrr;hadir
haduh;aduh
haduuuh;aduh
haghaghag;tertawa
haha;tertawa
hahaha;tertawa
hahahaha;tertawa
hahahahaha;tertawa
hahahahahaha;tertawa
haii;hai
haiii;hai
hakhak;tertawa
hal2;hal-hal
halahh;alah
halangin;halangi
halllo;halo
hallo;halo
hallooo;halo
hallow;halo
halooo;halo
halow;halo
hampasss;hempas
hancurin;menghancurkan
hancuuuuuy;hancur
handak;bahan peledak
hankam;pertahanan dan keamanan
hansip;pertahanan sipil
happi";hepi-hepi
happy;bahagia
hapusin;hapuskan
haragain;menghargai
hardcore;keras
hargs;harga
hari2;hari-hari
haru;harus
hasilnyaaa;hasilnya
haslnya;hasilnya
hat;hati
hater;pembenci
haters;pembenci
hati";hati-hati
hati.a;hatinya
hati2;hati-hati
hatii;hati
hatiiii;hati
hay;hai
hayal;khayal
hayalanku;khayalanku
hayooo;hayo
hayukk;hayo
hayuu;hayo
hbis;habis
hbs;habis
hdk;hendak
hdp;hidup
hdpn;hadapan
hdpnya;hidupnya
hdr;hadir
hdup;hidup
hebaat;hebat
hebatt;hebat
hedeuuhh;aduh
heeee;hai
hehe;he
hehh;eh
heii;hai
helloo;halo
hellooooooo;halo
hellow;halo
helo;halo
helooooo;halo
helow;halo
hematt;hemat
hempaass;hempas
heter;pembenci
heters;pembenci
hey;hai
hgga;hingga
hi;hai
hianatin;khianati
hidiyah;hidayah
hiduppp;hidup
hidupppp;hidup
hidupx;hidupnya
hiduupppp;hidup
hiii;hai
hijaabbb;hijab
hijabb;hijab
hijap;hijab
hilangin;menghilangkan
hilangv;hilang
himana;bagaimana
hiraukn;hiraukan
hiri;hari
hit;terpopuler
hits;terkini
hlm;halaman
hlng;hilang
hmpir;hampir
hndak;hendak
hndk;hendak
hngga;hingga
hny;hanya
hnya;hanya
hoax;isu bohong
hoax;palsu
hokiii;hoki
hotak;botak
hotx;hotnya
houm;rumah
hpus;hapus
hr;hari
hri;hari
hrs;harus
hrsny;harusny
hrsnya;harusnya
hrus;harus
hrusnya;harusnya
hslnya;hasilnya
ht;hati
hub;hubungan
hub;hubungi
hub;menghubungi
hubad;hubungan angkatan darat
hubdar;perhubungan darat
hubla;perhubungan laut
hubngan;hubungan
hubunggi;hubungi
huff;mengeluh
huft;mengeluh
hujatann;hujatan
hum;rumah
humas;hubungan masyarakat
humoris;lucu
humz;rumah
hurts;pedih
hy;hai
iaa;iya
iaa;ya
ibliss;iblis
ibu2;ibu-ibu
ibuk2;ibu-ibu
idamann;idaman
idk;saya tidak tahu
idolaa;idola
idoolaaa;idola
idung;hidung
idungnya;hidungnya
idup;hidup
idupnya;hidupnya
ig;instagram
igtlah;ingatlah
ihh;ih
ihhh;ih
ihhhh;ih
ihhhhh;ih
iih;ih
iihh;ih
iiih;ih
iiihh;ih
iiihhhh;ih
iiihhhhh;ih
iiii;ih
iiiihhhhhj;ih
iiiiiiiii;ih
iiiiiiiiii;ih
ijap;ijab
ikh;ih
ikon;lambang
ikut2;ikut-ikut
ikut2an;ikut-ikutan
ikutin;ikuti
ikutin;mengikuti
ilang";hilang-hilang
ilang-in;hilangkan
ilang2;hilang-hilang
ilang2an;hilang-hilangan
ilang;hilang
ilfeel;tidak suka
ilfil;tidak suka
ilmh;ilmu
imba;jago sekali
imho;in my humble opinion
imoet;imut
imoetz;imut
imut2;imut-imut
imutt;imut
imutttttt;imut
imuttzz;imut
imuutt;imut
imuuttt;imut
in;ini
indahhh;indah
indefendet;independen
indo;indonesia
indoneaia;indonesia
indonesiaaa;indonesia
indonesiaah;indonesia
info;informasi
infpyunnnn;ampun
ingeet;ingat
inget;ingat
ingetin;mengingatkan
inggat;ingat
inggrisny;inggrisnya
inghinn;ingin
ingi;ingin
inginkn;inginkan
ingt;ingat
inia;ini
iniehh;ini
inih;ini
inihhh;ini
inii;ini
iniii;ini
iniiiii;ini
iniiiiiiiiiiiiiii;ini
iniw;ini
inni;ini
insom;insomnia
insonniaaa;insomnia
iooo;lo
iow;dengan kata lain
ipon;iphone
iriiiii;iri
irit;hemat
iseng2;iseng-iseng
isengin;bercanda
ista;nista
istaa;nista
istimewaaa;istimewa
istiqamah;istikamah
istiqomah;istikamah
istiqomahhh;istikamah
it;itu
item;hitam
ithu;itu
ituh;itu
itumahh;itumah
itung;hitung
itungan;hitungan
ituu;itu
ituuu;itu
ituuuu;itu
ityl;itil
iu;itu
iy;iya
iyaa;iya
iyaaa;iya
iyaaaa;iya
iyaap;iya
iyaappps;iya
iyah;iya
iyak;iya
iyala;iya lah
iyap;iya
iye;iya
iyh;iya
iyha;iya
iyo;iya
iyuh;ih
iyuuhhh;ih
iyuuuhhhh;ih
j;saja
ja;saja
jaaangan;jangan
jaadii;jadi
jablay;jarang dibelai
jadii;jadi
jadiin;jadi
jadiin;jadikan
jadilh;jadilah
jadu;jadi
jadul;jaman dulu
jadulnya;jaman dulunya
jagain;jaga
jagain;menjaga
jahatin;menjahati
jaim;jaga image
jakety;jaketnya
jalan"nya;jalan-jalannya
jalan2;jalan-jalan
jalanani;menjalani
jalanin;menjalani
jamam;jaman
jaman2;jaman-jaman
jaman2nya;jaman-jamannya
jan;jangan
jancuk;anjing
jangan";jangan-jangan
jangan2;jangan-jangan
janjinyaa;janji
janjutin;lanjutkan
janka;jangka
jaoooh;jauh
jari2;jari-jari
jatoh;jatuh
jatuhnyaa;jatuhnya
jauhh;jauh
jauhhh;jauh
jauhin;jauhi
jauuhhh;jauh
jawabanny;jawabannya
jayus;tidak lucu
jd'y;jadinya
jd;jadi
jdi;jadi
jdii;jadi
jdikan;jadikan
jdnya;jadinya
jdulnya;judulnya
jdwl;jadwal
jelas";jelas-jelas
jelas2;jelas-jelas
jelase;jelas
jelashh;jelas
jelasssss;jelas
jelek"in;menjelek-jelekkan
jelek2;jelek-jelek
jelekin;menjelekkan
jelex;jelek
jels;jelas
jem;jam
jendes;janda
jendess;janda
jendesss;janda
jendral;jenderal
jeniuss;jenius
jentelmen;berani
jerewi;jerawat
jg;juga
jga;juga
jgan;jangan
jgk;juga
jgn2;jangan-jangan
jgn;jangan
jgnkan;jangankan
jh;saja
jidad;jidat
jijay;jijik
jilbabny;jilbabnya
jilbabnyaah;jilbabnya
jilbabnye;jilbabnya
jilbb;jilbab
jing;anjing
jir;anjing
jirr;anjir
jirrrr;anjir
jjur;jujur
jk;jika
jkrta;jakarta
jkt;jakarta
jl;jalan
jlbb;jilbab
jlek;jelek
jln2;jalan-jalan
jln;jalan
jls2;jelas-jelas
jls;jelas
jmnya;jamnya
jmpaaaa;jumpa
jnagn;jangan
jnda;janda
jng;jangan
jngan;jangan
jngn;jangan
jngnn;jangan
jnj;janji
jodohny;jodohnya
jodohx;jodohnya
jogetin;berjoget
jomblo;tidak punya pacar
jombsss;jomblo
jorokkkk;jorok
jorookknya;joroknya
jrang;jarang
jrnk;jarang
jt;juta
jth;jatuh
jubir;juru bicara
judulnyaa;judulnya
jugaa;juga
jugaaa;juga
jugaakk;juga
jugak;juga
jungkiir;jungkir
jurdil;jujur adil
justeru;justru
jutek;galak
jwab;jawab
jwb;jawab
jwban;jawaban
k';kak
k;kak
k;ke
ka;kak
ka;kakak
kaa;kak
kaaa;kak
kaaaa;kak
kaaaaa;kak
kaaaaaaaaaakkkkkkkkkkk;kak
kaaaaaann;kan
kaaakk;kak
kaaan;kan
kaak;kak
kaakaaaa;kakak
kaakk;kak
kaan;kan
kaannnn;kan
kaasian;kasihan
kab;kabupaten
kabag;kepala bagian
kabor;kabur
kacauuuu;kacau
kacian;kasihan
kaciiaann;kasihan
kacrut;kacau
kadit;kepala direktorat
kadiv;kepala divisi
kafeh;kafe
kaga;kagak
kaga;tidak
kagak;tidak
kageeet;kaget
kageet;kaget
kaitannha;kaitannya
kaj;kak
kaka;kakak
kakakaaaaaaaaaaaaaa;kakak
kakakgh;kakak
kakakkk;kakak
kakakny;kakaknya
kakakuuu;kakakku
kakanga;kakaknya
kakanya;kakaknya
kakau;kalau
kakk;kak
kakk;kakak
kakkk;kak
kakkkk;kak
kakkkkk;kak
kalahnye;kalahnya
kale;kali
kaleee;kali
kaliaan;kalian
kaliann;kalian
kaliannn;kalian
kaliannnnnm;kalian
kaliannnnnn;kalian
kaliannnnnnn;kalian
kalii;kali
kaliii;kali
kaliiii;kali
kaliiiiiii;kali
kaliiin;kalian
kalik;kali
kalli;kali
kallo;kalo
kalo;kalau
kalogak;kalo enggak
kalok;kalo
kaloo;kalo
kalu;kalau
kalw;kalau
kam;kamu
kamiiii;kami
kamo;kamu
kampret;sialan
kampungn;kampungan
kamseupay;kampungan
kamtib;keamanan dan ketertiban
kamtibmas;keamanan dan ketertiban masyarakat
kamu2;kamu-kamu
kamuh;kamu
kamunyaa;kamunya
kamuu;kamu
kamuuuu;kamu
kamuwh;kamu
kamyu;kamu
kamyuhhh;kamu
kana;kanan
kanapa;kenapa
kancang;kencang
kangeeeeeeeeeeennnnn;kangen
kangeeeeeeeeennnnnnnn;kangen
kangeeeeeeeenya;kangen
kangeeeeennn;kangen
kangeeeennn;kangen
kangeeeennnnn;kangen
kangeeerrn;kangen
kangeen;kangen
kangeenn;kangen
kangem;kangen
kangenn;kangen
kangennn;kangen
kangennnn;kangen
kangennnnn;kangen
kangennnnnmnnnnnnnnnnnnnnnnn;kangen
kangennnnnn;kangen
kangennnnnnn;kangen
kangennnnnnnnnnnnnnnn;kangen
kanggen;kangen
kanggggg;kang
kann;kan
kannn;kan
kanwil;kantor wilayah
kapaan;kapan
kapan2;kapan-kapan
kapn;kapan
kapt;kapten
kareno;karena
karir.a;karirnya
karmaaa;karma
karn;karena
karna;karena
kartunin;kartun
karya";karya-karya
karya2;karya-karya
kasar2;kasar-kasar
kasat;kepala satuan
kasi;kasih
kasiaannn;kasihan
kasian;kasihan
kasiannn;kasihan
kasiatnya;khasiatnya
kasihn;kasihan
kasiian;kasihan
kasubbag;kepala subbagian
kasubbid;kepala subbidang
kata";kata-kata
kata2;kata-kata
kata2nya;kata-katanya
kata2nyaaa;kata-katanya
katanyaa;katanya
kate;kata
katrok;kampungan
kau;kamu
kauuuu;kau
kawinin;mengawini
kaya'a;kayanya
kaya;kayak
kayaa;kaya
kayahhh;kaya
kayakk;kayak
kayanya;kayaknya
kayanye;kayanya
kayaq;kayak
kayax;kayak
kbahagiaan;kebahagiaan
kbar;kabar
kbawa;terbawa
kberkahn;keberkahan
kbetulan;kebetulan
kbiasaan;kebiasaan
kbr;kabar
kca;kaca
kcantikan;kecantikan
kcewa;kecewa
kcian;kasihan
kcil;kecil
kcwa;kecewa
kdang;kadang
kdg2;kadang-kadang
kdg;kadang
kdng;kadang
kdu;harus
kdua;kedua
keak;kayak
kebagi;terbagi
kebaikan"y;kebaikannya
kebalas;terbalas
kebangetak;kebangetan
kebanggan;kebanggaan
kebarat2an;kebarat-baratan
kebawa;terbawa
kebayang;terbayang
kebayanyaa;kebayanya
keberpa;keberapa
kebnyak'an;kebanyakan
kebongkar;terbongkar
kebukaaa;terbuka
kebukti;terbukti
keburu;terlanjur
kebykan;kebanyakan
kec;kecamatan
kecantikanga;kecantikannya
kece2;kece-kece
keceee;kece
keche;kece
keciil;kecil
keciill;kecil
kecik;kecil
kecil";kecil-kecil
kecptan;kecepatan
kecr;kece
kedengeran;kedengaran
kedokk;kedok
kedpan;kedepan
keduaa;kedua
kedubes;kedutaan besar
keedaannya;keadaannya
keee;ke
keeeeeren;keren
keeeerrrreeeennnnnnnnn;keren
keinget;teringat
kejadianny;kejadiannya
kejahatn;kejahatan
kejawab;terjawab
kejurnas;kejuaraan nasional
kejuu;keju
kek;kayak
kek;seperti
kekeuh;keras kepala
kekgini;kayak begini
kekk;kayak
keknya;kayaknya
kekuranganny;kekurangannya
kel;keluarga
kel;kelurahan
kelahuran;kelahiran
kelaluan;kelakuan
kelas'a;kelasnya
keles;kali
keleus;kali
keliatan;kelihatan
keliatannya;kelihatannya
kellen;kalian
keluarin;keluarkan
keluarin;mengeluarkan
kelus;kali
kemakan;termakan
kemaren;kemarin
kemariin;kemarin
kemarn;kemarin
kembaq;kembar
kemn;kemana
kemuh;kamu
kemungkianan;kemungkinan
kenaliiin;kenalkan
kenalin;kenalkan
kenalin;memperkenalkan
kenalin;mengenalkan
kenapaa;kenapa
kenape;kenapa
kenceng;kencang
kencng;kencang
kencqng;kencang
keneh;masih
kentot;senggama
kenyataan2;kenyataan-kenyataan
kepad;kepada
kepd;kepada
kepda;kepada
kepeleset;kepleset
kepelesett;terpeleset
kepengen;mau
kepikir;terpikir
kepikiran;terpikirkan
kepingin;mau
kepingin;pengin
kepo;mau tahu urusan orang
kepo;penasaran
kepoh;kepo
kepoin;kepo
kepoin;kepoi
kepoin;mengepoi
kepppoin;kepoi
kepsek;kepala sekolah
keputihn;keputihan
keq;kayak
keq;kek
kerasin;kerasi
kerass;keras
kere;tidak punya uang
kereeeeen;keren
kereeeeennn;keren
kereeeeennnn;keren
kereeeen;keren
kereeen;keren
kereeennnn;keren
kereen;keren
kereenn;keren
kereennn;keren
keren";keren-keren
keren2;keren-keren
kerenn;keren
kerennn;keren
kerennnn;keren
kerennnnn;keren
kerjaan;pekerjaan
kerreeen;keren
kerrennn;keren
kerrrrennnn;keren
kesalahanny;kesalahannya
kesampean;kesampaian
kesbang;kesatuan bangsa
kesian;kasihan
kesinii;kesini
kesiniii;kesini
kesra;kesejahteraan rakyat
ketaatanny;ketaatannya
ketara;tertara
ketarik;tertarik
ketauan;ketahuan
ketawaa;ketawa
ketawain;mentertawakan
ketawakkkk;ketawa
ketemuuu;ketemu
ketipu;tertipu
ketrima;diterima
ketuker;tertukar
keukeuh;keras kepala
kgak;kagak
kgeeeen;kangen
kgiatan;kegiatan
kgk;kagak
kgn;kangen
kh;kah
kha;kah
khadiran;kehadiran
khadirannya;kehadirannya
khan;kan
kharismanya;karismanya
khdpn;kehidupan
khidupan;kehidupan
kibul;bohong
kibus;kaki busuk
kicep;diam
kimpoi;kawin
kipak;bohong
kira2;kira-kira
kirain;mengira
kiriii;kiri
kirimin;mengirimi
kitaa;kita
kitaaa;kita
kite;kita
kiya;kita
kk;kakak
kka;kakak
kkak;kakak
kki;kaki
kklau;kalau
kl;kalau
kl;kalo
klahiran;kelahiran
klakuan;kelakuan
klas;kelas
klau;kalau
klauu;kalau
klen;kalian
klepek2;klepek-klepek
klg;keluarga
klhran;kelahiran
kli;kali
klian;kalian
klianz;kalian
kliatan;kelihatan
kliatanya;kelihatannya
klihatan;kelihatan
klk;kelak
klkuan;kelakuan
kll;kalo
klmbutan;kelembutan
kln;kalian
klo;kalau
klo;kalo
klok;kalo
klon;duplikat
kloop;klop
kloter;kelompok terbang
klow;kalau
klrg;keluarga
klrga;keluarga
klu;kalau
kluar;keluar
kluarga;keluarga
klw;kalau
klwrga;keluarga
km;kami
km;kamu
kmana2;kemana-mana
kmana;kemana
kmar;kamar
kmaren;kemarin
kmari;kemari
kmariiin;kemarin
kmarin;kemarin
kmauan;kemauan
kmbali;kembali
kmbang;kembang
kmbl;kembali
kmewahan;kemewahan
kmi;kami
kmn;kemana
kmps;kampus
kmpus;kampus
kmren;kemarin
kmrin;kemarin
kmrm;kemeramen
kmrn;kemarin
kmu;kamu
kn;kan
knal;kenal
knan;kanan
kndung;kandung
kngen;kangen
kngenn;kangen
kngn;kangen
knl;kenal
knlan;kenalan
knp;kenapa
knpa;kenapa
knpp;kenapa
knsul;konsultasi
knyataan;kenyataan
ko;kok
koar;teriak
kobul;kabul
kocaaaak;kocak
kocaaaakkk;kocak
kocakkk;kocak
kocakkkkkk;kocak
kocakkkkkkkkkkkkkk;kocak
koclak;kocak
kodya;kota madya
kog;kok
kokkk;kok
kokohh;engkoh
komdis;komisi disiplin
komen2;komen-komen
komen2an;komen-komenan
komenan;komentar
komenannya;komentarnya
koment;komentar
komentar2;komentar-komentar
komentarin;komentari
komentarin;mengomentari
komentnya;komentarnya
komenx;komennya
komntr;komentar
kompi;komputer
komsov;komunis sovyet
komtiong;komunis Tiongkok
komuk;muka
komun;komunitas
komunitas2;komunitas-komunitas
kongkow;kumpul bareng teman-teman
kongkow;kumpul-kumpul
konjen;konsulat jenderal
konsekwensi;konsekuensi
konsul;konsultasi
kontak2;kontak-kontak
konten2;konten-konten
kopdar;kopi darat
koplak;kocak
koplakkk;koplak
koq;kok
korek2;korek-korek
korup;korupsi
kostom;kostum
kowe;kamu
kox;kok
kpada;kepada
kpan;kapan
kpancing;terpancing
kpd;kepada
kpleset;kepleset
kpn2;kapan-kapan
kpn;kapan
kpnpun;kapanpun
kptsan;keputusan
kpuasan;kepuasan
kq;kok
kqmu;kamu
kr;kira
kra;kira
kraya;karya
kreative;kreatif
kreean;keren
kreeenn;keren
kreen;keren
kren;keren
krena;karena
krenn;keren
krenz;keren
kri;kiri
krik;garing
krim;kirim
kriput;keriput
krjaan;pekerjaan
krm;kirim
krmh;ke rumah
krn;karena
krna;karena
krng;kurang
krpoooo;kepo
krudung;kerudung
krudungan;kerudungan
krumunan;kerumunan
krus;kurus
krya;karya
ksenangan;kesenangan
ksh;kasih
ksih;kasih
ksini;kesini
ksitu;kesitu
kslahan;kesalahan
kslhn;kesalahan
ksni;kesini
ksukaanmuuu;kesukaanmu
ksyngn;kesayangan
kt2;kata-kata
kt;kita
kta;kata
kta;kita
ktaa;kita
ktaatan;ketaatan
ktanya;katanya
ktauan;ketahuan
ktawa;ketawa
ktemu;ketemu
ktergantungan;ketergantungan
ktg;kita
ktika;ketika
ktipu;tipu
ktmu;ketemu
ktny;katanya
ktnya;katanya
ktr;kantor
ktwa;ketawa
kuaaatt;kuat
kuatttt;kuat
kubarikan;kuberikan
kucing'y;kucingnya
kudu;harus
kueren2;keren-keren
kuliyh;kuliah
kumkeb;kumpul kebo
kuninggg;kuning
kuningggg;kuning
kunjungin;kunjungi
kuper;kurang pergaulan
kuq;kok
kura2;kura-kura
kurangin;kurangi
kureeeen;keren
kurng;kurang
kusem;kusam
kususnya;khususnya
kutuu;kutu
kuu;ku
kuy;yuk
kuyy;yuk
kuyyy;yuk
kw;imitasi
kw;kau
kwatir;kawatir
kx;kak
ky;kaya
ky;seperti
kya;kaya
kyak;kayak
kyaknya;kayaknya
kyanya;kayanya
kyax;kayak
kyk.a;kayaknya
kyk;kayak
kyk;seperti
kykny;kayanya
kyknya;kayaknya
kyy;kaya
kzl;kesal
la;lah
laa;lah
laaaah;lah
ladenin;meladeni
laen;lain
laenny;lainnya
lafazd;lafaz
lagihh;lagi
lagii;lagi
lagiii;lagi
lagiiii;lagi
laginy;laginya
lagu'y;lagunya
lagu2;lagu-lagu
lagu2nya;lagu-lagunya
lahh;lah
lahhh;lah
lahhhhhh;lah
lahirr;lahir
lainnn;lain
lainnyaa;lainnya
lairannya;kelahirannya
laka;kecelakaan
laki";laki-laki
laki2;laki-laki
lakik;laki
laku";laku-laku
lakuin;melakukan
lam;salam
lama2;lama-lama
lambreta;lambat
lamp;lampiran
lancr;lancar
langgengggg;langgeng
langgenh;langgeng
lanjutin;lanjutkan
lanjutkaaaaan;lanjutkan
lansia;lanjut usia
lanud;landasan udara
lapakk;lapak
lapas;lembaga pemasyarakatan
latgab;latihan gabungan
latian;latihan
lau;kau
lawaaaas;lawas
lbh;lebih
lbih;lebih
lbihh;lebih
lbur;libur
lcu;lucu
le;boleh
lebar2;lebar-lebar
lebay;berlebihan
lebayy;lebay
lebeh;berlebihan
lebh;lebih
ledekin;ledeki
ledkin;meledeki
leh;boleh
lekong;laki
lekong;laki-laki
lelet;lambat
lemot;lambat
lemot;lambat berfikir
lemot;lemah otak
lengkapp;lengkap
lengkeeett;lengket
lenje;lenjeh
lepasin;melepas
less;kurang
lg;lagi
lggeng;langgeng
lggi;lagi
lgi;lagi
lgkah2;langkah-langkah
lgkp;lengkap
lgs;langsung
lgsg;langsung
lgsung;langsung
lgu;lagu
lgunya;lagunya
lh;boleh
lh;lah
lha;lah
lhat;lihat
lhir;lahir
lhirr;lahir
lhoo;loh
lhooo;loh
lht;lihat
liaat;lihat
liaatt;lihat
liad;lihat
liat'y;lihatnya
liat2;lihat-lihat
liat;lihat
liatiii;lihat
liatin;memperlihatkan
liatin;perlihatkan
liatlah;lihatlah
liatnya;lihatnya
liatnyaaa;lihatnya
liatt;lihat
liattt;lihat
light;terang
lihaat;lihat
lihaatttt;lihat
liht;lihat
linmas;perlindungan masyarakat
lipetan;lipatan
liptsk;lipstik
litbang;penelitian dan pengembangan
liyat;lihat
liyatnya;lihatnya
lkuin;lakukan
llki;lelaki
lluu;lu
lluuccuu;lucu
lma;lama
lmyan;lumayan
lmyn;lumayan
lngkp;lengkap
lngsing;langsing
lngsung;langsung
lnjut;lanjut
lo;kamu
loch;loh
lockdown;karantina
loe;kamu
loe;lo
lohh;lo
lohh;loh
lohhh;loh
lohhhh;loh
loksyut;lokasi syuting
lol;tertawa
lola;lambat berfikir
lom;belum
loncatt;loncat
loncattt;loncat
loo;lo
loo;loh
looh;loh
loohhh;loh
looo;loh
loooh;loh
looohh;loh
louph;cinta
loupz;cinta
love;cinta
low;kalau
lowh;kamu
lp;lupa
lsg;langsung
lt;lantai
lu;kamu
luaarrr;luar
luber;langsung, umum, bebas, dan rahasia
luccu;lucu
luchu;lucu
luchuw;lucu
luco;lucu
lucu2;lucu-lucu
lucuk;lucu
lucukkkkk;lucu
lucunaaa;lucunya
lucunyah;lucunya
lucuu;lucu
lucuukk;lucu
lucuuu;lucu
lucuuuk;lucu
lucuuuu;lucu
lucuuuuu;lucu
lucuuuuuuuu;lucu
lucuuuuuuuuuu;lucu
lucux;lucunya
luff;cinta
luh;lu
luhhh;lu
lum;belum
lupain;melupakan
luph;cinta
lurusin;meluruskan
luthu;lucu
luthuna;lucunya
lutu;lucu
lutuna;lucunya
